Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);14;;1.0;1.0;14.480422973632812;;;;
(None, 4);14;;1.0;1.0;24.3582866191864;;;;
(None, 6);14;;1.0;1.0;34.143285512924194;;;;
(None, 8);14;;1.0;1.0;44.653103828430176;;;;
(None, 10);14;;1.0;1.0;56.53869915008545;;;;
(None, 12);14;;1.0;1.0;67.21111845970154;;;;
(None, 14);14;;1.0;1.0;78.03811454772949;;;;
(None, 15);24;;0.5574257425742575;0.5574257425742575;79.25506258010864;;;;
(None, 16);29;;0.5717821782178217;0.5574257425742575;81.299232006073;;;;
(None, 17);34;;0.5806930693069307;0.5574257425742575;82.6449921131134;;;;
(None, 18);39;;0.5717821782178217;0.5574257425742575;84.17294073104858;;;;
(None, 19);44;;0.5762376237623762;0.5574257425742575;85.58431673049927;;;;
(None, 20);49;;0.5698019801980198;0.5574257425742575;87.08472990989685;;;;
(None, 21);54;;0.5702970297029702;0.5574257425742575;89.19103240966797;;;;
(None, 23);108;;0.5727722772277227;0.5574257425742575;100.36441922187805;;;;
(None, 25);108;;0.5732673267326732;0.5574257425742575;111.56898808479309;;;;
(None, 27);108;;0.5678217821782178;0.5574257425742575;121.39536261558533;;;;
(None, 28);113;;0.1896039603960396;0.1896039603960396;122.6494791507721;;;;
(None, 29);118;;0.19306930693069307;0.1896039603960396;123.88121461868286;;;;
(None, 30);123;;0.19356435643564357;0.1896039603960396;125.13608145713806;;;;
