Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);3;;1.0;1.0;12.0917387008667;;;;
(None, 4);3;;1.0;1.0;21.34837794303894;;;;
(None, 6);3;;1.0;1.0;30.272603273391724;;;;
(None, 8);3;;1.0;1.0;39.04430413246155;;;;
(None, 10);3;;1.0;1.0;47.169403314590454;;;;
(None, 12);3;;1.0;1.0;55.342933893203735;;;;
(None, 14);3;;1.0;1.0;63.25211763381958;;;;
(None, 16);3;;1.0;1.0;71.50748181343079;;;;
(None, 17);13;;0.8932926829268293;0.8932926829268293;72.6769208908081;;;;
(None, 18);18;;0.8932926829268293;0.8932926829268293;74.00420880317688;;;;
(None, 19);23;;0.8932926829268293;0.8932926829268293;77.61760687828064;;;;
(None, 20);28;;0.8932926829268293;0.8932926829268293;78.74393272399902;;;;
(None, 21);33;;0.8932926829268293;0.8932926829268293;79.82163286209106;;;;
(None, 22);38;;0.8932926829268293;0.8932926829268293;80.92136907577515;;;;
(None, 23);43;;0.8932926829268293;0.8932926829268293;82.02685332298279;;;;
(None, 24);48;;0.8932926829268293;0.8932926829268293;83.01209211349487;;;;
(None, 26);53;;0.8932926829268293;0.8932926829268293;91.66421627998352;;;;
(None, 28);53;;0.8932926829268293;0.8932926829268293;102.00279188156128;;;;
(None, 30);53;;0.8932926829268293;0.8932926829268293;110.74147343635559;;;;
(None, 32);53;;0.8932926829268293;0.8932926829268293;118.85195183753967;;;;
(None, 34);53;;0.8932926829268293;0.8932926829268293;127.18910813331604;;;;
(None, 36);53;;0.8932926829268293;0.8932926829268293;135.48764514923096;;;;
(None, 37);63;;0.7865853658536586;0.7865853658536586;136.5387785434723;;;;
(None, 38);68;;0.7865853658536586;0.7865853658536586;137.62090682983398;;;;
(None, 39);73;;0.7865853658536586;0.7865853658536586;138.66616225242615;;;;
(None, 40);78;;0.7865853658536586;0.7865853658536586;139.79104733467102;;;;
(None, 41);83;;0.7865853658536586;0.7865853658536586;140.9813253879547;;;;
(None, 42);88;;0.7865853658536586;0.7865853658536586;142.02872681617737;;;;
(None, 44);94;;0.7865853658536586;0.7865853658536586;150.29331851005554;;;;
(None, 46);94;;0.7865853658536586;0.7865853658536586;158.3252775669098;;;;
(None, 48);94;;0.7865853658536586;0.7865853658536586;168.4554934501648;;;;
(None, 50);94;;0.7865853658536586;0.7865853658536586;176.63192582130432;;;;
(None, 52);94;;0.7865853658536586;0.7865853658536586;185.13359928131104;;;;
(None, 54);94;;0.7865853658536586;0.7865853658536586;193.46875619888306;;;;
(None, 56);94;;0.7865853658536586;0.7865853658536586;202.83458018302917;;;;
(None, 58);94;;0.7865853658536586;0.7865853658536586;211.12071108818054;;;;
(None, 60);94;;0.7865853658536586;0.7865853658536586;220.2629201412201;;;;
(None, 62);94;;0.7865853658536586;0.7865853658536586;229.21116662025452;;;;
(None, 63);104;;0.6798780487804879;0.6798780487804879;230.36107802391052;;;;
(None, 64);109;;0.6798780487804879;0.6798780487804879;231.4865517616272;;;;
(None, 65);114;;0.6798780487804879;0.6798780487804879;232.69582796096802;;;;
(None, 66);119;;0.6798780487804879;0.6798780487804879;233.87290501594543;;;;
(None, 67);124;;0.6798780487804879;0.6798780487804879;234.9588258266449;;;;
(None, 68);129;;0.6798780487804879;0.6798780487804879;236.05328512191772;;;;
(None, 69);134;;0.6798780487804879;0.6798780487804879;237.65601754188538;;;;
(None, 70);139;;0.6798780487804879;0.6798780487804879;238.8180902004242;;;;
(None, 71);144;;0.6798780487804879;0.6798780487804879;239.85876846313477;;;;
(None, 72);149;;0.6798780487804879;0.6798780487804879;240.9365565776825;;;;
(None, 74);153;;0.6798780487804879;0.6798780487804879;250.54586958885193;;;;
(None, 76);153;;0.6798780487804879;0.6798780487804879;259.0805480480194;;;;
(None, 78);153;;0.6798780487804879;0.6798780487804879;267.22762417793274;;;;
(None, 80);153;;0.6798780487804879;0.6798780487804879;275.591340303421;;;;
(None, 82);153;;0.6798780487804879;0.6798780487804879;285.8655631542206;;;;
(None, 84);153;;0.6798780487804879;0.6798780487804879;294.7960133552551;;;;
(None, 86);153;;0.6798780487804879;0.6798780487804879;309.76134300231934;;;;
(None, 88);153;;0.6798780487804879;0.6798780487804879;318.0744562149048;;;;
(None, 89);163;;0.573170731707317;0.573170731707317;319.1395766735077;;;;
(None, 90);168;;0.573170731707317;0.573170731707317;320.76566910743713;;;;
(None, 91);173;;0.573170731707317;0.573170731707317;321.8994514942169;;;;
(None, 92);178;;0.573170731707317;0.573170731707317;323.70551013946533;;;;
(None, 93);183;;0.573170731707317;0.573170731707317;324.73851704597473;;;;
(None, 94);188;;0.573170731707317;0.573170731707317;326.2812428474426;;;;
(None, 95);193;;0.573170731707317;0.573170731707317;327.38612174987793;;;;
(None, 96);198;;0.573170731707317;0.573170731707317;328.4872057437897;;;;
(None, 98);204;;0.573170731707317;0.573170731707317;336.5085515975952;;;;
(None, 100);204;;0.573170731707317;0.573170731707317;345.01044750213623;;;;
(None, 102);204;;0.573170731707317;0.573170731707317;353.20050621032715;;;;
(None, 104);204;;0.573170731707317;0.573170731707317;362.1414830684662;;;;
(None, 106);204;;0.573170731707317;0.573170731707317;370.2314283847809;;;;
(None, 108);204;;0.573170731707317;0.573170731707317;378.79492235183716;;;;
(None, 110);204;;0.573170731707317;0.573170731707317;387.05401158332825;;;;
(None, 112);204;;0.573170731707317;0.573170731707317;395.76975536346436;;;;
(None, 114);204;;0.573170731707317;0.573170731707317;403.82080841064453;;;;
(None, 116);204;;0.573170731707317;0.573170731707317;412.54188108444214;;;;
(None, 117);209;;0.5018292682926829;0.5018292682926829;413.6573567390442;;;;
(None, 118);214;;0.5018292682926829;0.5018292682926829;414.77685952186584;;;;
(None, 119);219;;0.5018292682926829;0.5018292682926829;415.91395711898804;;;;
(None, 120);224;;0.5018292682926829;0.5018292682926829;416.9635705947876;;;;
(None, 121);229;;0.5018292682926829;0.5018292682926829;418.1170537471771;;;;
(None, 122);234;;0.5018292682926829;0.5018292682926829;419.3921937942505;;;;
(None, 123);239;;0.5018292682926829;0.5018292682926829;420.5154058933258;;;;
