Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);27;;1.0;1.0;21.123730659484863;;;;
(None, 4);27;;1.0;1.0;33.097320318222046;;;;
(None, 6);27;;1.0;1.0;47.76391649246216;;;;
(None, 8);27;;1.0;1.0;61.68710160255432;;;;
(None, 10);27;;1.0;1.0;73.78683090209961;;;;
(None, 12);27;;1.0;1.0;89.38724255561829;;;;
(None, 14);27;;1.0;1.0;103.39205431938171;;;;
(None, 15);32;;0.5750649350649351;0.5750649350649351;105.47544884681702;;;;
(None, 16);37;;0.5407792207792208;0.5407792207792208;107.44866967201233;;;;
(None, 17);42;;0.5963636363636363;0.5407792207792208;109.40737199783325;;;;
(None, 18);47;;0.5864935064935065;0.5407792207792208;111.68009686470032;;;;
(None, 19);52;;0.584935064935065;0.5407792207792208;113.55623269081116;;;;
(None, 20);57;;0.5688311688311688;0.5407792207792208;116.61408185958862;;;;
(None, 21);62;;0.5745454545454546;0.5407792207792208;118.32440042495728;;;;
(None, 23);108;;0.5761038961038961;0.5407792207792208;131.8372941017151;;;;
(None, 25);108;;0.5828571428571429;0.5407792207792208;146.76266050338745;;;;
(None, 27);108;;0.5631168831168831;0.5407792207792208;162.16565012931824;;;;
(None, 28);113;;0.2083116883116883;0.2083116883116883;164.24482536315918;;;;
(None, 29);118;;0.2077922077922078;0.2077922077922078;166.70781636238098;;;;
(None, 30);123;;0.22233766233766233;0.2077922077922078;168.3650679588318;;;;
