Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);3;;1.0;1.0;13.07816743850708;;;;
(None, 4);3;;1.0;1.0;23.596174716949463;;;;
(None, 6);3;;1.0;1.0;32.070966958999634;;;;
(None, 8);3;;1.0;1.0;42.20725607872009;;;;
(None, 10);3;;1.0;1.0;51.04399800300598;;;;
(None, 12);3;;1.0;1.0;59.86210083961487;;;;
(None, 13);8;;0.8926380368098159;0.8926380368098159;60.93991470336914;;;;
(None, 14);13;;0.8926380368098159;0.8926380368098159;62.027063846588135;;;;
(None, 15);18;;0.8926380368098159;0.8926380368098159;63.20321488380432;;;;
(None, 16);23;;0.8926380368098159;0.8926380368098159;64.31815671920776;;;;
(None, 17);28;;0.8926380368098159;0.8926380368098159;65.55270767211914;;;;
(None, 18);33;;0.8926380368098159;0.8926380368098159;66.66073322296143;;;;
(None, 20);39;;0.8926380368098159;0.8926380368098159;77.64275431632996;;;;
(None, 22);39;;0.8926380368098159;0.8926380368098159;87.43801879882812;;;;
(None, 24);39;;0.8926380368098159;0.8926380368098159;96.43367743492126;;;;
(None, 26);39;;0.8926380368098159;0.8926380368098159;106.42467141151428;;;;
(None, 28);39;;0.8926380368098159;0.8926380368098159;116.17637634277344;;;;
(None, 30);39;;0.8926380368098159;0.8926380368098159;125.95475625991821;;;;
(None, 32);39;;0.8926380368098159;0.8926380368098159;134.2856707572937;;;;
(None, 34);39;;0.8926380368098159;0.8926380368098159;142.82932209968567;;;;
(None, 35);49;;0.7852760736196319;0.7852760736196319;143.9402561187744;;;;
(None, 36);54;;0.7852760736196319;0.7852760736196319;145.21094274520874;;;;
(None, 37);59;;0.7852760736196319;0.7852760736196319;146.35480642318726;;;;
(None, 38);64;;0.7852760736196319;0.7852760736196319;147.45196294784546;;;;
(None, 39);69;;0.7852760736196319;0.7852760736196319;148.56808924674988;;;;
(None, 40);74;;0.7852760736196319;0.7852760736196319;149.72249603271484;;;;
(None, 41);79;;0.7852760736196319;0.7852760736196319;150.78891897201538;;;;
(None, 42);84;;0.7852760736196319;0.7852760736196319;152.01883697509766;;;;
(None, 44);93;;0.7852760736196319;0.7852760736196319;160.03654980659485;;;;
(None, 46);93;;0.7852760736196319;0.7852760736196319;168.8621542453766;;;;
(None, 48);93;;0.7852760736196319;0.7852760736196319;177.9475290775299;;;;
(None, 50);93;;0.7852760736196319;0.7852760736196319;187.1210868358612;;;;
(None, 52);93;;0.7852760736196319;0.7852760736196319;195.86752009391785;;;;
(None, 54);93;;0.7852760736196319;0.7852760736196319;204.96239614486694;;;;
(None, 56);93;;0.7852760736196319;0.7852760736196319;214.1379954814911;;;;
(None, 58);93;;0.7852760736196319;0.7852760736196319;222.89688754081726;;;;
(None, 60);93;;0.7852760736196319;0.7852760736196319;231.7836208343506;;;;
(None, 62);93;;0.7852760736196319;0.7852760736196319;240.96042442321777;;;;
(None, 63);103;;0.6779141104294478;0.6779141104294478;242.05695724487305;;;;
(None, 64);108;;0.6779141104294478;0.6779141104294478;243.1667263507843;;;;
(None, 65);113;;0.6779141104294478;0.6779141104294478;244.8173372745514;;;;
(None, 66);118;;0.6779141104294478;0.6779141104294478;245.90859460830688;;;;
(None, 67);123;;0.6779141104294478;0.6779141104294478;247.18151712417603;;;;
(None, 68);128;;0.6779141104294478;0.6779141104294478;248.45209431648254;;;;
(None, 69);133;;0.6779141104294478;0.6779141104294478;251.11452555656433;;;;
(None, 70);138;;0.6779141104294478;0.6779141104294478;252.32075929641724;;;;
(None, 71);143;;0.6779141104294478;0.6779141104294478;253.76705145835876;;;;
(None, 72);148;;0.6779141104294478;0.6779141104294478;254.94375562667847;;;;
(None, 74);155;;0.6779141104294478;0.6779141104294478;263.59782552719116;;;;
(None, 76);155;;0.6779141104294478;0.6779141104294478;272.8443670272827;;;;
(None, 78);155;;0.6779141104294478;0.6779141104294478;281.8187081813812;;;;
(None, 80);155;;0.6779141104294478;0.6779141104294478;290.66959953308105;;;;
(None, 82);155;;0.6779141104294478;0.6779141104294478;306.2155952453613;;;;
(None, 84);155;;0.6779141104294478;0.6779141104294478;314.7684905529022;;;;
(None, 86);155;;0.6779141104294478;0.6779141104294478;323.4595205783844;;;;
(None, 88);155;;0.6779141104294478;0.6779141104294478;332.4154601097107;;;;
(None, 90);155;;0.6779141104294478;0.6779141104294478;340.6997699737549;;;;
(None, 92);155;;0.6779141104294478;0.6779141104294478;349.4398453235626;;;;
(None, 93);165;;0.6128834355828221;0.6128834355828221;350.65139722824097;;;;
(None, 94);170;;0.6061349693251534;0.6061349693251534;352.05183720588684;;;;
(None, 95);175;;0.6058282208588958;0.6058282208588958;353.36271476745605;;;;
(None, 96);180;;0.6058282208588958;0.6058282208588958;354.77090978622437;;;;
(None, 97);185;;0.6052147239263803;0.6052147239263803;356.1641089916229;;;;
(None, 98);190;;0.605521472392638;0.6052147239263803;357.6174895763397;;;;
(None, 99);195;;0.6067484662576688;0.6052147239263803;359.0696487426758;;;;
(None, 100);200;;0.6073619631901841;0.6052147239263803;360.68292570114136;;;;
(None, 101);205;;0.6082822085889571;0.6052147239263803;362.07057094573975;;;;
(None, 102);210;;0.6076687116564418;0.6052147239263803;363.5597012042999;;;;
(None, 104);211;;0.6061349693251534;0.6052147239263803;372.69204235076904;;;;
(None, 106);211;;0.6058282208588958;0.6052147239263803;381.15607357025146;;;;
(None, 108);211;;0.6082822085889571;0.6052147239263803;389.7209208011627;;;;
(None, 110);211;;0.6082822085889571;0.6052147239263803;398.8922276496887;;;;
(None, 112);211;;0.6073619631901841;0.6052147239263803;408.11632442474365;;;;
(None, 114);211;;0.6073619631901841;0.6052147239263803;416.64894580841064;;;;
(None, 116);211;;0.6082822085889571;0.6052147239263803;425.52825021743774;;;;
(None, 118);211;;0.6079754601226994;0.6052147239263803;435.2189586162567;;;;
(None, 119);216;;0.49969325153374233;0.49969325153374233;436.6443302631378;;;;
(None, 120);221;;0.5015337423312883;0.49969325153374233;437.900532245636;;;;
