Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);1;;1.0;1.0;9.60331106185913;;;;
(None, 4);1;;1.0;1.0;17.555935859680176;;;;
(None, 6);1;;1.0;1.0;24.922661781311035;;;;
(None, 8);1;;1.0;1.0;32.662938356399536;;;;
(None, 10);1;;1.0;1.0;40.48906683921814;;;;
(None, 12);1;;1.0;1.0;48.28270649909973;;;;
(None, 14);1;;1.0;1.0;55.932549715042114;;;;
(None, 15);11;;0.7168284789644013;0.7168284789644013;56.85432839393616;;;;
(None, 16);16;;0.7168284789644013;0.7168284789644013;57.77187442779541;;;;
(None, 17);21;;0.7168284789644013;0.7168284789644013;58.767005920410156;;;;
(None, 18);26;;0.7168284789644013;0.7168284789644013;59.87840723991394;;;;
(None, 19);31;;0.7168284789644013;0.7168284789644013;61.02801179885864;;;;
(None, 20);36;;0.7168284789644013;0.7168284789644013;62.24249982833862;;;;
(None, 21);41;;0.7168284789644013;0.7168284789644013;63.510518074035645;;;;
(None, 23);51;;0.7168284789644013;0.7168284789644013;71.23489046096802;;;;
(None, 25);51;;0.7168284789644013;0.7168284789644013;79.98699593544006;;;;
(None, 27);51;;0.7168284789644013;0.7168284789644013;87.63695120811462;;;;
(None, 29);51;;0.7168284789644013;0.7168284789644013;95.46425533294678;;;;
(None, 31);51;;0.7168284789644013;0.7168284789644013;102.9062294960022;;;;
(None, 33);51;;0.7168284789644013;0.7168284789644013;110.50092720985413;;;;
(None, 35);51;;0.7168284789644013;0.7168284789644013;117.94679927825928;;;;
(None, 36);61;;0.5763754045307443;0.5763754045307443;118.91410422325134;;;;
(None, 37);66;;0.5815533980582525;0.5763754045307443;120.02418351173401;;;;
(None, 38);71;;0.5760517799352751;0.5760517799352751;121.10862398147583;;;;
(None, 39);76;;0.5754045307443366;0.5754045307443366;122.34904551506042;;;;
(None, 40);81;;0.5776699029126213;0.5754045307443366;123.533607006073;;;;
(None, 41);86;;0.5867313915857605;0.5754045307443366;124.57863283157349;;;;
(None, 42);91;;0.5864077669902913;0.5754045307443366;125.7455153465271;;;;
(None, 44);99;;0.5922330097087378;0.5754045307443366;132.87630701065063;;;;
(None, 46);99;;0.583495145631068;0.5754045307443366;140.66766905784607;;;;
(None, 48);99;;0.5851132686084143;0.5754045307443366;148.09379863739014;;;;
(None, 50);99;;0.586084142394822;0.5754045307443366;155.34977173805237;;;;
(None, 52);99;;0.586084142394822;0.5754045307443366;162.4105463027954;;;;
(None, 54);99;;0.5841423948220065;0.5754045307443366;169.7046182155609;;;;
(None, 56);99;;0.5870550161812298;0.5754045307443366;177.83581495285034;;;;
(None, 58);99;;0.579611650485437;0.5754045307443366;185.7470088005066;;;;
(None, 60);99;;0.5902912621359223;0.5754045307443366;193.60479831695557;;;;
(None, 62);99;;0.5815533980582525;0.5754045307443366;201.3123025894165;;;;
(None, 64);99;;0.5883495145631068;0.5754045307443366;209.87356519699097;;;;
(None, 66);99;;0.582200647249191;0.5754045307443366;217.5012285709381;;;;
(None, 68);99;;0.584789644012945;0.5754045307443366;225.35135960578918;;;;
(None, 69);109;;0.3352750809061489;0.3352750809061489;226.41556477546692;;;;
(None, 70);114;;0.3333333333333333;0.3333333333333333;227.9898555278778;;;;
(None, 71);119;;0.33915857605177996;0.3333333333333333;229.1828019618988;;;;
(None, 72);124;;0.3511326860841424;0.3333333333333333;230.61513113975525;;;;
(None, 73);129;;0.34563106796116505;0.3333333333333333;232.0580518245697;;;;
(None, 74);134;;0.34757281553398056;0.3333333333333333;233.5284342765808;;;;
(None, 75);139;;0.35631067961165047;0.3333333333333333;234.89629912376404;;;;
(None, 76);144;;0.3663430420711974;0.3333333333333333;236.363538980484;;;;
(None, 77);149;;0.3644012944983819;0.3333333333333333;238.17700862884521;;;;
(None, 78);154;;0.38284789644012945;0.3333333333333333;239.8233687877655;;;;
(None, 79);159;;0.3864077669902913;0.3333333333333333;241.35920691490173;;;;
(None, 80);164;;0.3786407766990291;0.3333333333333333;242.6756272315979;;;;
(None, 81);169;;0.3724919093851133;0.3333333333333333;244.2313413619995;;;;
(None, 83);176;;0.3789644012944984;0.3333333333333333;251.98351097106934;;;;
(None, 85);176;;0.3773462783171521;0.3333333333333333;260.5676555633545;;;;
(None, 87);176;;0.37993527508090613;0.3333333333333333;268.37919092178345;;;;
(None, 89);176;;0.37993527508090613;0.3333333333333333;276.6763451099396;;;;
(None, 91);176;;0.38058252427184464;0.3333333333333333;284.746728181839;;;;
(None, 93);176;;0.37087378640776697;0.3333333333333333;293.5644998550415;;;;
(None, 95);176;;0.3757281553398058;0.3333333333333333;301.46193051338196;;;;
(None, 97);176;;0.3705501618122977;0.3333333333333333;310.6879141330719;;;;
(None, 99);176;;0.3750809061488673;0.3333333333333333;318.2786259651184;;;;
(None, 101);176;;0.37281553398058254;0.3333333333333333;326.3532886505127;;;;
(None, 103);176;;0.38090614886731394;0.3333333333333333;334.2419412136078;;;;
(None, 105);176;;0.36763754045307445;0.3333333333333333;341.8213474750519;;;;
(None, 107);176;;0.3718446601941748;0.3333333333333333;349.6698725223541;;;;
(None, 108);186;;0.12653721682847896;0.12653721682847896;350.9197723865509;;;;
(None, 109);191;;0.13559870550161812;0.12653721682847896;352.29904222488403;;;;
(None, 110);196;;0.129126213592233;0.12653721682847896;353.55621910095215;;;;
(None, 111);201;;0.14045307443365695;0.12653721682847896;355.05781960487366;;;;
(None, 112);206;;0.12718446601941746;0.12653721682847896;356.56512331962585;;;;
(None, 113);211;;0.13300970873786408;0.12653721682847896;358.05708718299866;;;;
(None, 114);216;;0.1255663430420712;0.1255663430420712;359.6829080581665;;;;
(None, 115);221;;0.12880258899676375;0.1255663430420712;361.29116892814636;;;;
(None, 116);226;;0.13656957928802588;0.1255663430420712;362.6220052242279;;;;
(None, 117);231;;0.13042071197411004;0.1255663430420712;364.2397253513336;;;;
(None, 118);236;;0.1226537216828479;0.1226537216828479;365.6104896068573;;;;
(None, 119);241;;0.13268608414239483;0.1226537216828479;367.08717799186707;;;;
(None, 120);246;;0.13203883495145632;0.1226537216828479;368.694589138031;;;;
