Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
;10;0.0;0.9593272171253823;0.9593272171253823;64.09604907035828;;;;
;20;0.0;0.9593272171253823;0.9593272171253823;129.0310435295105;;;;
;30;0.0;0.9593272171253823;0.9593272171253823;190.96147322654724;;;;
;40;0.0;0.8767584097859327;0.8767584097859327;254.07941603660583;;;;
;50;0.0;0.8767584097859327;0.8767584097859327;314.2657551765442;;;;
;60;0.0;0.8247706422018348;0.8247706422018348;373.60531997680664;;;;
;70;0.0;0.7501529051987768;0.7501529051987768;435.7383487224579;;;;
;80;0.0;0.7501529051987768;0.7501529051987768;481.9340696334839;;;;
;90;0.0;0.7501529051987768;0.7501529051987768;540.62833070755;;;;
;100;0.0;0.7501529051987768;0.7501529051987768;587.4396297931671;;;;
;110;0.0;0.6296636085626911;0.6296636085626911;645.9961841106415;;;;
;120;0.0;0.627217125382263;0.627217125382263;691.2960131168365;;;;
;130;0.0;0.6207951070336392;0.6207951070336392;765.4988126754761;;;;
;140;0.0;0.6122324159021407;0.6122324159021407;828.7561790943146;;;;
;150;0.0;0.4996941896024465;0.4996941896024465;891.3352937698364;;;;
;160;0.0;0.5024464831804282;0.4996941896024465;935.8323473930359;;;;
;170;0.0;0.5021406727828747;0.4996941896024465;990.6430177688599;;;;
;180;0.0;0.4917431192660551;0.4917431192660551;1051.0539383888245;;;;
;190;0.0;0.4917431192660551;0.4917431192660551;1095.7587959766388;;;;
;200;0.0;0.48990825688073397;0.48990825688073397;1159.0744078159332;;;;
;210;0.0;0.4923547400611621;0.48990825688073397;1214.4730916023254;;;;
;220;0.0;0.5314984709480123;0.48990825688073397;1277.2179639339447;;;;
;230;0.0;0.41651376146788993;0.41651376146788993;1337.610424041748;;;;
;240;0.0;0.45351681957186546;0.41651376146788993;1398.3706302642822;;;;
;250;0.0;0.45351681957186546;0.41651376146788993;1453.5770626068115;;;;
;260;0.0;0.45351681957186546;0.41651376146788993;1498.8613893985748;;;;
;270;0.0;0.45351681957186546;0.41651376146788993;1542.219365119934;;;;
;280;0.0;0.45351681957186546;0.41651376146788993;1585.0281674861908;;;;
;290;0.0;0.44495412844036697;0.41651376146788993;1662.847326040268;;;;
;300;0.0;0.5091743119266054;0.41651376146788993;1722.8003964424133;;;;
;310;0.0;0.5091743119266054;0.41651376146788993;1764.9602420330048;;;;
;320;0.0;0.5091743119266054;0.41651376146788993;1808.1955630779266;;;;
;330;0.0;0.5091743119266054;0.41651376146788993;1861.6588208675385;;;;
;340;0.0;0.5091743119266054;0.41651376146788993;1903.5834937095642;;;;
;350;0.0;0.5091743119266054;0.41651376146788993;1946.8458244800568;;;;
;360;0.0;0.5091743119266054;0.41651376146788993;1989.3183507919312;;;;
;370;0.0;0.5009174311926605;0.41651376146788993;2065.354084253311;;;;
;380;0.0;0.4379204892966361;0.41651376146788993;2132.459403991699;;;;
;390;0.0;0.3415902140672783;0.3415902140672783;2197.5638887882233;;;;
;400;0.0;0.3415902140672783;0.3415902140672783;2239.3488578796387;;;;
;410;0.0;0.3415902140672783;0.3415902140672783;2281.4400877952576;;;;
;420;0.0;0.3415902140672783;0.3415902140672783;2332.909795999527;;;;
;430;0.0;0.3415902140672783;0.3415902140672783;2374.772542476654;;;;
;440;0.0;0.3415902140672783;0.3415902140672783;2415.383998632431;;;;
;450;0.0;0.3415902140672783;0.3415902140672783;2455.848470926285;;;;
;460;0.0;0.3244648318042814;0.3244648318042814;2534.563734292984;;;;
;470;0.0;0.3244648318042814;0.3244648318042814;2577.122405529022;;;;
;480;0.0;0.3244648318042814;0.3244648318042814;2619.0927340984344;;;;
;490;0.0;0.3244648318042814;0.3244648318042814;2662.006726503372;;;;
;500;0.0;0.3244648318042814;0.3244648318042814;2715.824127435684;;;;
;510;0.0;0.3244648318042814;0.3244648318042814;2757.531925201416;;;;
;520;0.0;0.3244648318042814;0.3244648318042814;2798.419086456299;;;;
;530;0.0;0.3244648318042814;0.3244648318042814;2839.64217710495;;;;
;540;0.0;0.3;0.3;2911.3668467998505;;;;
;550;0.0;0.3;0.3;2953.2652547359467;;;;
;560;0.0;0.3;0.3;2995.941859960556;;;;
;570;0.0;0.3;0.3;3038.2148282527924;;;;
;580;0.0;0.3;0.3;3109.891783475876;;;;
;590;0.0;0.3;0.3;3151.512698173523;;;;
;600;0.0;0.3;0.3;3194.5946583747864;;;;
;610;0.0;0.3;0.3;3237.951162338257;;;;
;620;0.0;0.3;0.3;3292.197999238968;;;;
;630;0.0;0.3;0.3;3334.513721227646;;;;
;640;0.0;0.3;0.3;3376.9381597042084;;;;
;650;0.0;0.3;0.3;3420.020374774933;;;;
