Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);4;;1.0;1.0;16.612581968307495;;;;
(None, 4);4;;1.0;1.0;27.39029574394226;;;;
(None, 6);4;;1.0;1.0;39.84341835975647;;;;
(None, 8);4;;1.0;1.0;54.166532039642334;;;;
(None, 10);4;;1.0;1.0;67.20237851142883;;;;
(None, 12);4;;1.0;1.0;79.53914189338684;;;;
(None, 14);4;;1.0;1.0;92.02641201019287;;;;
(None, 16);4;;1.0;1.0;105.32847881317139;;;;
(None, 18);4;;1.0;1.0;119.45253252983093;;;;
(None, 20);4;;1.0;1.0;130.88549375534058;;;;
(None, 21);14;;0.9349618320610688;0.9349618320610688;132.3446831703186;;;;
(None, 22);19;;0.9422900763358779;0.9349618320610688;134.17908191680908;;;;
(None, 23);24;;0.9386259541984733;0.9349618320610688;135.95254611968994;;;;
(None, 24);29;;0.9337404580152672;0.9337404580152672;138.23439145088196;;;;
(None, 25);34;;0.9319083969465649;0.9319083969465649;139.96488118171692;;;;
(None, 26);39;;0.9331297709923664;0.9319083969465649;141.45852375030518;;;;
(None, 27);44;;0.9340458015267176;0.9319083969465649;143.09894251823425;;;;
(None, 28);49;;0.9337404580152672;0.9319083969465649;144.70702576637268;;;;
(None, 29);54;;0.9306870229007633;0.9306870229007633;146.4019637107849;;;;
(None, 30);59;;0.932824427480916;0.9306870229007633;147.98670029640198;;;;
(None, 32);66;;0.9337404580152672;0.9306870229007633;160.34867191314697;;;;
(None, 34);66;;0.9346564885496184;0.9306870229007633;176.01097202301025;;;;
(None, 36);66;;0.9303816793893129;0.9303816793893129;190.1015167236328;;;;
(None, 38);66;;0.9306870229007633;0.9303816793893129;206.32084608078003;;;;
(None, 40);66;;0.9325190839694657;0.9303816793893129;219.79967999458313;;;;
(None, 42);66;;0.9325190839694657;0.9303816793893129;232.06824493408203;;;;
(None, 44);66;;0.9331297709923664;0.9303816793893129;245.9717824459076;;;;
(None, 46);66;;0.9337404580152672;0.9303816793893129;263.9557967185974;;;;
(None, 48);66;;0.9316030534351145;0.9303816793893129;279.48490285873413;;;;
(None, 50);66;;0.9346564885496184;0.9303816793893129;294.7018926143646;;;;
(None, 51);76;;0.825648854961832;0.825648854961832;296.18307662010193;;;;
(None, 52);81;;0.8253435114503817;0.8253435114503817;298.9496729373932;;;;
(None, 53);86;;0.8262595419847328;0.8253435114503817;301.06433510780334;;;;
(None, 54);91;;0.8241221374045802;0.8241221374045802;303.81627321243286;;;;
(None, 55);96;;0.825648854961832;0.8241221374045802;305.8255293369293;;;;
(None, 56);101;;0.8268702290076336;0.8241221374045802;307.4475402832031;;;;
(None, 57);106;;0.8287022900763359;0.8241221374045802;309.123263835907;;;;
(None, 58);111;;0.8314503816793893;0.8241221374045802;310.4769015312195;;;;
(None, 59);116;;0.8296183206106871;0.8241221374045802;311.8924331665039;;;;
(None, 60);121;;0.8259541984732824;0.8241221374045802;313.60136222839355;;;;
(None, 62);127;;0.8280916030534351;0.8241221374045802;325.6942446231842;;;;
(None, 64);127;;0.825648854961832;0.8241221374045802;338.73644852638245;;;;
(None, 66);127;;0.8262595419847328;0.8241221374045802;351.19689774513245;;;;
