Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
;10;0.0;0.72;0.72;0.08922982215881348;;;;
;20;0.0;0.4704;0.4704;5.38104772567749;;;;
;30;0.0;0.4704;0.4704;14.10845398902893;;;;
;40;0.0;0.208;0.208;19.937684774398804;;;;
;50;0.0;0.208;0.208;20.208272695541382;;;;
;60;0.0;0.208;0.208;20.434401988983154;;;;
;70;0.0;0.208;0.208;20.628253936767578;;;;
;80;0.0;0.1888;0.1888;21.425291776657104;;;;
;90;0.0;0.11488;0.11488;22.677026748657227;;;;
;100;0.0;0.1216;0.11488;22.763346910476685;;;;
;110;0.0;0.128;0.11488;22.868969678878784;;;;
;120;0.0;0.11936;0.11488;22.980487823486328;;;;
;130;0.0;0.12064;0.11488;23.053961277008057;;;;
;140;0.0;0.11968;0.11488;23.144791841506958;;;;
;150;0.0;0.11392;0.11392;23.22163701057434;;;;
;160;0.0;0.064;0.064;31.763506650924683;;;;
;170;0.0;0.0704;0.064;35.88559079170227;;;;
;180;0.0;0.06752;0.064;45.05564475059509;;;;
;190;0.0;0.07168;0.064;54.69164562225342;;;;
;200;0.0;0.06848;0.064;65.13134145736694;;;;
;210;0.0;0.07264;0.064;70.76722574234009;;;;
;220;0.0;0.06784;0.064;70.82627320289612;;;;
;230;0.0;0.072;0.064;76.71114778518677;;;;
;240;0.0;0.07392;0.064;85.89383816719055;;;;
;250;0.0;0.07264;0.064;92.19214200973511;;;;
;260;0.0;0.06944;0.064;92.3072075843811;;;;
;270;0.0;0.07424;0.064;92.40631818771362;;;;
;280;0.0;0.07616;0.064;92.56274771690369;;;;
;290;0.0;0.07008;0.064;92.69940614700317;;;;
;300;0.0;0.07584;0.064;92.78673243522644;;;;
;310;0.0;0.07296;0.064;92.9150185585022;;;;
;320;0.0;0.0816;0.064;96.63173246383667;;;;
;330;0.0;0.07904;0.064;99.29835081100464;;;;
;340;0.0;0.08384;0.064;105.00392842292786;;;;
;350;0.0;0.08064;0.064;114.7260525226593;;;;
;360;0.0;0.07808;0.064;123.74357342720032;;;;
;370;0.0;0.08064;0.064;132.17513132095337;;;;
;380;0.0;0.08032;0.064;139.02496910095215;;;;
;390;0.0;0.08704;0.064;147.78211092948914;;;;
;400;0.0;0.08128;0.064;157.4214596748352;;;;
;410;0.0;0.08128;0.064;166.68987226486206;;;;
;420;0.0;0.08832;0.064;168.3872263431549;;;;
;430;0.0;0.08576;0.064;177.38620972633362;;;;
;440;0.0;0.08672;0.064;186.24936938285828;;;;
;450;0.0;0.08192;0.064;195.26777291297913;;;;
;460;0.0;0.0912;0.064;196.6269233226776;;;;
;470;0.0;0.08512;0.064;198.4020619392395;;;;
;480;0.0;0.08256;0.064;207.26403045654297;;;;
;490;0.0;0.08128;0.064;216.5070343017578;;;;
;500;0.0;0.08512;0.064;218.3826265335083;;;;
;510;0.0;0.08864;0.064;218.48012018203735;;;;
;520;0.0;0.08992;0.064;222.96186757087708;;;;
;530;0.0;0.08864;0.064;231.58419823646545;;;;
;540;0.0;0.08576;0.064;234.35338640213013;;;;
;550;0.0;0.07904;0.064;234.4464626312256;;;;
;560;0.0;0.08928;0.064;237.87419652938843;;;;
;570;0.0;0.08672;0.064;237.98523044586182;;;;
;580;0.0;0.08768;0.064;238.1192924976349;;;;
;590;0.0;0.0784;0.064;241.88631963729858;;;;
;600;0.0;0.088;0.064;251.057950258255;;;;
;610;0.0;0.07808;0.064;260.1105246543884;;;;
;620;0.0;0.08864;0.064;264.7343702316284;;;;
;630;0.0;0.08288;0.064;264.83912777900696;;;;
;640;0.0;0.0944;0.064;268.88322377204895;;;;
;650;0.0;0.08448;0.064;269.01800990104675;;;;
;660;0.0;0.08608;0.064;271.7027530670166;;;;
;670;0.0;0.08576;0.064;282.2412209510803;;;;
;680;0.0;0.088;0.064;292.15054535865784;;;;
;690;0.0;0.08672;0.064;302.0003995895386;;;;
;700;0.0;0.08864;0.064;308.4184949398041;;;;
;710;0.0;0.08224;0.064;308.51434874534607;;;;
;720;0.0;0.09216;0.064;308.6373679637909;;;;
;730;0.0;0.09216;0.064;313.880952835083;;;;
;740;0.0;0.08928;0.064;314.0748863220215;;;;
;750;0.0;0.08896;0.064;314.1618220806122;;;;
;760;0.0;0.09408;0.064;319.65141129493713;;;;
;770;0.0;0.08672;0.064;329.24627804756165;;;;
;780;0.0;0.08768;0.064;337.79351353645325;;;;
;790;0.0;0.09376;0.064;343.165967464447;;;;
;800;0.0;0.09376;0.064;350.01123118400574;;;;
;810;0.0;0.0976;0.064;359.2315835952759;;;;
;820;0.0;0.08928;0.064;368.55253529548645;;;;
